Year,OP,EXR,IIP,Nifty
01-01-1996,18.13521739,35.8117,38.52,848.42
01-02-1996,17.84619048,36.5945,37.58,992.51
01-03-1996,19.80952381,34.4852,41.12,985.3
01-04-1996,21.20045455,34.3195,36.61,"1,114.36"
01-05-1996,19.31913043,35.025,37.01,"1,089.92"
01-06-1996,18.5775,35.0995,35.44,"1,122.00"
01-07-1996,19.71478261,35.6673,35.64,"1,042.81"
01-08-1996,20.60590909,35.8,36.19,"1,029.00"
01-09-1996,23.08142857,35.87,35.56,943.96
01-10-1996,24.27347826,35.8036,36.24,909.29
01-11-1996,23.10238095,35.8392,35.87,830.32
01-12-1996,24.03636364,35.8815,39.24,899.1
01-01-1997,23.60565217,35.9037,39.09,972.65
01-02-1997,20.9205,35.8905,38.44,998.65
01-03-1997,19.55952381,35.8848,42.34,968.3
01-04-1997,17.77545455,35.8281,38.15,"1,079.85"
01-05-1997,19.24545455,35.8248,38.44,"1,050.90"
01-06-1997,17.80380952,35.8202,37.75,"1,192.40"
01-07-1997,18.55652174,35.7474,38.55,"1,221.50"
01-08-1997,18.81571429,36.0085,38.12,"1,105.00"
01-09-1997,18.58181818,36.4756,38.61,"1,123.80"
01-10-1997,20.1326087,36.302,38.78,"1,085.25"
01-11-1997,19.309,37.2889,39.66,"1,023.95"
01-12-1997,17.41782609,39.4,42.03,"1,079.40"
01-01-1998,15.51045455,39.391,42.2,963.45
01-02-1998,14.366,39.0079,41.15,"1,060.75"
01-03-1998,13.46,39.5686,43.97,"1,116.90"
01-04-1998,13.80909091,39.7029,40.04,"1,159.35"
01-05-1998,14.50857143,40.4687,40.09,"1,063.15"
01-06-1998,13.05954545,42.3668,39.81,941.65
01-07-1998,12.52347826,42.6118,40.01,931.4
01-08-1998,12.15285714,42.8429,39.92,852.8
01-09-1998,13.62636364,42.579,39.84,904.95
01-10-1998,12.89636364,42.3943,38.78,824.55
01-11-1998,11.44190476,42.4284,41.75,817.75
01-12-1998,10.16,42.5909,43.83,884.25
01-01-1999,11.18666667,42.5453,44.37,966.2
01-02-1999,10.4295,42.5316,42.6,981.3
01-03-1999,12.88521739,42.5161,45.97,"1,078.05"
01-04-1999,15.50090909,42.7968,41.92,978.2
01-05-1999,15.67,42.859,43.06,"1,132.30"
01-06-1999,16.13181818,43.2127,41.72,"1,187.70"
01-07-1999,19.03227273,43.3567,42.49,"1,310.15"
01-08-1999,20.59772727,43.5032,42.83,"1,412.00"
01-09-1999,23.14954545,43.5981,42.74,"1,413.10"
01-10-1999,22.17857143,43.5528,42.03,"1,325.45"
01-11-1999,24.83727273,43.458,43.34,"1,376.15"
01-12-1999,25.69913043,43.5239,47.36,"1,480.45"
01-01-2000,25.63333333,43.5895,46.54,"1,546.20"
01-02-2000,28.03047619,43.654,46.08,"1,654.80"
01-03-2000,27.49434783,43.6383,49.76,"1,528.45"
01-04-2000,23.1535,43.6847,44.63,"1,406.55"
01-05-2000,27.80521739,44.0759,45.62,"1,380.45"
01-06-2000,30.48318182,44.7605,44.17,"1,471.45"
01-07-2000,28.89428571,44.8405,44.6,"1,332.85"
01-08-2000,31.62913043,45.7687,44.91,"1,394.10"
01-09-2000,33.36047619,45.968,45.22,"1,271.65"
01-10-2000,31.30272727,46.4252,44.83,"1,172.75"
01-11-2000,32.88090909,46.8214,46.51,"1,268.15"
01-12-2000,25.47571429,46.7845,49.02,"1,263.55"
01-01-2001,25.79,46.6138,48.62,"1,371.70"
01-02-2001,27.8965,46.5616,47.42,"1,351.40"
01-03-2001,25.03454545,46.6532,50.9,"1,148.20"
01-04-2001,26.01809524,46.7886,45.74,"1,125.25"
01-05-2001,28.43826087,46.9473,46.34,"1,167.90"
01-06-2001,28.00380952,47.0424,45.34,"1,107.90"
01-07-2001,24.99136364,47.1781,45.74,"1,072.85"
01-08-2001,25.73608696,47.1665,46.25,"1,053.75"
01-09-2001,25.837,47.7511,46.11,913.85
01-10-2001,21.0326087,48.0514,46.25,971.9
01-11-2001,19.10545455,48.043,47.62,"1,067.15"
01-12-2001,18.68142857,47.9345,50.5,"1,059.05"
01-01-2002,20.03304348,48.3533,50.44,"1,075.40"
01-02-2002,20.545,48.7168,48.56,"1,142.05"
01-03-2002,24.00095238,48.7667,52.52,"1,129.55"
01-04-2002,25.94545455,48.9386,47.62,"1,084.50"
01-05-2002,25.54956522,49.0168,48.25,"1,028.80"
01-06-2002,24.368,48.984,47.39,"1,057.80"
01-07-2002,25.85782609,48.7877,48.99,958.9
01-08-2002,26.62,48.615,49.1,"1,010.60"
01-09-2002,28.37095238,48.4625,48.99,963.15
01-10-2002,27.5226087,48.3882,49.5,951.4
01-11-2002,24.25047619,48.2853,49.59,"1,050.15"
01-12-2002,28.31727273,48.1495,53.61,"1,093.50"
01-01-2003,30.80869565,47.9571,53.84,"1,041.85"
01-02-2003,32.6625,47.7474,51.95,"1,063.40"
01-03-2003,30.16809524,47.6767,55.6,978.2
01-04-2003,25.035,47.3909,49.62,934.05
01-05-2003,25.71454545,47.11,51.33,"1,006.80"
01-06-2003,27.56666667,46.6995,50.56,"1,134.15"
01-07-2003,28.50391304,46.22,52.21,"1,185.85"
01-08-2003,29.71809524,45.9557,51.93,"1,356.55"
01-09-2003,27.04409091,45.8467,52.67,"1,417.10"
01-10-2003,29.43565217,45.4036,52.58,"1,555.90"
01-11-2003,28.9485,45.5544,53.67,"1,615.25"
01-12-2003,29.74347826,45.5741,57.6,"1,879.75"
01-01-2004,30.98181818,45.456,58.14,"1,809.75"
01-02-2004,30.795,45.2726,56.26,"1,800.30"
01-03-2004,33.42434783,44.9693,60.08,"1,771.90"
01-04-2004,33.35772727,43.8918,55.4,"1,796.10"
01-05-2004,37.58904762,45.1755,56.32,"1,483.60"
01-06-2004,35.43772727,45.5027,55.89,"1,505.60"
01-07-2004,38.22681818,46.0557,58.34,"1,632.30"
01-08-2004,42.22409091,46.322,58.14,"1,631.75"
01-09-2004,43.31590909,46.0548,59.51,"1,745.50"
01-10-2004,49.73619048,45.7355,59.8,"1,786.90"
01-11-2004,43.74863636,45.0325,59.63,"1,958.80"
01-12-2004,39.96565217,43.847,64.7,"2,080.50"
01-01-2005,44.1747619,43.615,64.22,"2,057.60"
01-02-2005,45.721,43.5758,61.62,"2,103.25"
01-03-2005,53.22913043,43.5861,68.86,"2,035.65"
01-04-2005,52.60428571,43.6419,59.97,"1,902.50"
01-05-2005,49.28545455,43.4095,62.39,"2,087.55"
01-06-2005,54.83909091,43.5245,62.93,"2,220.60"
01-07-2005,57.62571429,43.434,61.96,"2,312.30"
01-08-2005,63.95043478,43.55,62.99,"2,384.65"
01-09-2005,63.26136364,43.8462,63.17,"2,601.40"
01-10-2005,58.90857143,44.7575,64.93,"2,370.95"
01-11-2005,55.44954545,45.6315,63.3,"2,652.25"
01-12-2005,57.15681818,45.5633,70.68,"2,836.55"
01-01-2006,63.31181818,44.201,71.71,"3,001.10"
01-02-2006,60.8055,44.23,68.02,"3,074.70"
01-03-2006,62.74695652,44.3378,76.67,"3,402.55"
01-04-2006,70.34,44.8245,65.84,"3,557.60"
01-05-2006,70.51,45.1959,69.47,"3,071.05"
01-06-2006,69.23272727,45.8886,69.1,"3,128.20"
01-07-2006,74.04095238,46.3675,71.16,"3,143.20"
01-08-2006,73.50043478,46.4461,69.17,"3,413.90"
01-09-2006,62.52714286,46.0105,71.53,"3,588.40"
01-10-2006,58.75818182,45.3552,71.22,"3,744.10"
01-11-2006,59.22272727,44.7257,75.94,"3,954.50"
01-12-2006,62.26047619,44.4835,80.36,"3,966.40"
01-01-2007,54.50304348,44.2062,81.63,"4,082.70"
01-02-2007,57.9695,44.0195,77.33,"3,745.30"
01-03-2007,62.35727273,43.7936,87.68,"3,821.55"
01-04-2007,67.69047619,42.0176,77.58,"4,087.90"
01-05-2007,67.71782609,40.5686,82.84,"4,295.80"
01-06-2007,70.61904762,40.5905,82.72,"4,318.30"
01-07-2007,76.13318182,40.2738,82.66,"4,528.85"
01-08-2007,71.31304348,40.6791,81.45,"4,464.00"
01-09-2007,76.772,40.1735,81.09,"5,021.35"
01-10-2007,82.5073913,39.3661,85.14,"5,900.65"
01-11-2007,92.73136364,39.3267,83.45,"5,762.75"
01-12-2007,91.51952381,39.375,91.19,"6,138.60"
01-01-2008,92.09173913,39.2676,92.28,"5,137.45"
01-02-2008,94.72238095,39.6735,90.34,"5,223.50"
01-03-2008,103.1619048,40.1452,97.97,"4,734.50"
01-04-2008,110.0331818,39.9668,86.11,"5,165.90"
01-05-2008,123.8622727,42.0019,88.77,"4,870.10"
01-06-2008,132.7604762,42.7633,89.8,"4,040.55"
01-07-2008,133.5852174,42.7027,87.32,"4,332.95"
01-08-2008,113.8004762,42.9057,85.87,"4,360.00"
01-09-2008,98.75545455,45.53,89.92,"3,921.20"
01-10-2008,71.96347826,48.6155,88.47,"2,885.60"
01-11-2008,52.7135,48.8517,84.54,"2,755.10"
01-12-2008,40.51173913,48.5132,89.74,"2,959.15"
01-01-2009,43.17454545,48.6995,87.38,"2,874.80"
01-02-2009,42.9105,49.2484,83.81,"2,763.65"
01-03-2009,46.58272727,51.1291,92.89,"3,020.95"
01-04-2009,50.51909091,49.9655,84.47,"3,473.95"
01-05-2009,57.50142857,48.51,87.32,"4,448.95"
01-06-2009,68.58,47.6736,88.17,"4,291.10"
01-07-2009,64.90434783,48.3624,88.77,"4,636.45"
01-08-2009,72.59190476,48.2426,90.4,"4,662.10"
01-09-2009,67.51318182,48.2924,91.37,"5,083.95"
01-10-2009,72.96863636,46.6524,90.53,"4,711.70"
01-11-2009,76.93666667,46.5305,89.86,"5,032.70"
01-12-2009,74.78956522,46.5273,98.27,"5,201.05"
01-01-2010,76.60238095,45.8944,99,"4,882.05"
01-02-2010,73.903,46.2732,95.31,"4,922.30"
01-03-2010,79.51913043,45.4509,106.8,"5,249.10"
01-04-2010,85.15636364,44.444,95.49,"5,278.00"
01-05-2010,76.13238095,45.769,94.7,"5,086.30"
01-06-2010,75.24636364,46.4983,94.76,"5,312.50"
01-07-2010,75.195,46.7617,97.61,"5,367.60"
01-08-2010,76.89181818,46.4605,94.46,"5,402.40"
01-09-2010,77.93818182,45.8729,97,"6,029.95"
01-10-2010,83.33857143,44.354,100.81,"6,017.70"
01-11-2010,85.80090909,44.9315,95.61,"5,862.70"
01-12-2010,91.96,45.1,106.26,"6,134.50"
01-01-2011,96.95238095,45.375,106.44,"5,505.90"
01-02-2011,104.2385,45.3795,101.66,"5,333.25"
01-03-2011,114.9173913,44.9143,116.85,"5,833.75"
01-04-2011,123.3257143,44.301,100.57,"5,749.50"
01-05-2011,114.9295455,44.9024,100.57,"5,560.15"
01-06-2011,114.3704545,44.8109,103.72,"5,647.40"
01-07-2011,117.4833333,44.396,101.18,"5,482.00"
01-08-2011,110.3547826,45.3135,97.67,"5,001.00"
01-09-2011,111.9627273,47.6905,99.42,"4,943.25"
01-10-2011,110.4295238,49.202,95.79,"5,326.60"
01-11-2011,111.1586364,50.6785,101.36,"4,832.05"
01-12-2011,108.3477273,52.3824,109.1,"4,624.30"
01-01-2012,111.415,51.0015,107.47,"5,199.25"
01-02-2012,119.1657143,49.1812,106.02,"5,385.20"
01-03-2012,124.7031818,50.3635,113.52,"5,295.55"
01-04-2012,120.47,51.69,99.3,"5,248.15"
01-05-2012,110.8221739,54.3314,105,"4,924.25"
01-06-2012,95.88904762,55.9424,102.3,"5,278.90"
01-07-2012,102.9795455,55.4248,101.5,"5,229.00"
01-08-2012,113.7804348,55.4935,99.9,"5,258.50"
01-09-2012,113.6415,54.35,99,"5,703.30"
01-10-2012,111.7926087,53.0995,103.7,"5,619.70"
01-11-2012,109.9118182,54.7845,98.3,"5,879.85"
01-12-2012,109.5690476,54.647,107.1,"5,905.10"
01-01-2013,112.5278261,54.229,107.2,"6,034.75"
01-02-2013,116.488,53.8079,101.4,"5,693.05"
01-03-2013,109.5857143,54.4229,115.2,"5,682.55"
01-04-2013,102.96,54.3236,102.6,"5,930.20"
01-05-2013,102.9804348,54.9845,106,"5,985.95"
01-06-2013,103.3585,58.3835,101.3,"5,842.20"
01-07-2013,107.7795652,59.7609,104.7,"5,742.00"
01-08-2013,111.0581818,62.8109,104.3,"5,471.80"
01-09-2013,111.9628571,63.648,105.7,"5,735.30"
01-10-2013,109.6186957,61.6059,105.7,"6,299.15"
01-11-2013,108.1504762,62.5179,101.9,"6,176.10"
01-12-2013,111.0704545,61.811,110.9,"6,304.00"
01-01-2014,107.9269565,62.1057,112.3,"6,089.50"
01-02-2014,108.838,62.1642,106.7,"6,276.95"
01-03-2014,107.8680952,60.9476,118.5,"6,704.20"
01-04-2014,108.0036364,60.3464,106.6,"6,696.40"
01-05-2014,109.8322727,59.2843,111,"7,229.95"
01-06-2014,112.2409524,59.7367,109.7,"7,611.35"
01-07-2014,107.4626087,60.0956,110.4,"7,721.30"
01-08-2014,102.4019048,60.8738,108,"7,954.35"
01-09-2014,97.85272727,60.8976,110.2,"7,964.80"
01-10-2014,87.58478261,61.3668,106,"8,322.20"
01-11-2014,79.2295,61.6828,109.4,"8,588.25"
01-12-2014,62.90391304,62.7071,115.3,"8,282.70"
01-01-2015,48.93318182,62.13,114.3,"8,808.90"
01-02-2015,58.254,61.9905,109.9,"8,901.85"
01-03-2015,56.52454545,62.4805,121.3,"8,491.00"
01-04-2015,59.82636364,62.6414,107.3,"8,181.50"
01-05-2015,65.19380952,63.715,113,"8,433.65"
01-06-2015,62.62,63.7809,110.8,"8,368.50"
01-07-2015,56.82956522,63.6045,111.8,"8,532.85"
01-08-2015,47.53380952,65.0971,112,"7,971.30"
01-09-2015,48.03045455,66.1667,112.6,"7,948.90"
01-10-2015,48.90636364,65.0262,115.5,"8,065.80"
01-11-2015,45.0952381,66.1,110.3,"7,935.25"
01-12-2015,38.52521739,66.5023,118.9,"7,946.35"
01-01-2016,32.0452381,67.3332,118.9,"7,563.55"
01-02-2016,33.76238095,68.2395,117.8,"6,987.05"
01-03-2016,39.79217391,66.8909,127.6,"7,738.40"
01-04-2016,43.33047619,66.4219,113.7,"7,849.80"
01-05-2016,47.735,66.8895,121.3,"8,160.10"
01-06-2016,49.87727273,67.2655,119.7,"8,287.75"
01-07-2016,46.59857143,67.158,116.8,"8,638.50"
01-08-2016,47.05217391,66.9035,116.5,"8,786.20"
01-09-2016,47.37681818,66.7138,118.2,"8,611.15"
01-10-2016,51.41380952,66.7415,120.3,"8,625.70"
01-11-2016,46.94227273,67.6395,115.9,"8,224.50"
01-12-2016,55.02272727,67.8052,121.7,"8,185.80"
01-01-2017,55.71090909,68.0474,123.1,"8,561.30"
01-02-2017,56.096,66.9726,119.2,"8,879.60"
01-03-2017,52.65521739,65.8009,133.2,"9,173.75"
01-04-2017,53.978,64.536,117.3,"9,304.05"
01-05-2017,51.37434783,64.4195,124.8,"9,621.25"
01-06-2017,47.65272727,64.4482,119.3,"9,520.90"
01-07-2017,49.25333333,64.424,118,"10,077.10"
01-08-2017,51.92782609,63.9683,122.1,"9,917.90"
01-09-2017,55.55761905,64.4775,123.1,"9,788.60"
01-10-2017,57.53636364,65.0357,122.5,"10,335.30"
01-11-2017,62.83636364,64.8435,125.8,"10,226.55"
01-12-2017,64.06428571,64.2445,130.6,"10,530.70"
01-01-2018,68.88913043,63.6452,132.3,"11,027.70"
01-02-2018,65.6965,64.43,127.4,"10,492.85"
01-03-2018,66.89181818,65.0455,140.3,"10,113.70"
01-04-2018,71.93285714,65.6729,122.6,"10,739.35"
01-05-2018,76.93434783,67.51,129.6,"10,736.15"
01-06-2018,75.80285714,67.79,127.7,"10,714.30"
01-07-2018,75.22909091,68.6867,125.7,"11,356.50"
01-08-2018,73.85130435,69.6317,128,"11,680.50"
01-09-2018,79.163,72.2779,128.8,"10,930.45"
01-10-2018,80.78347826,73.5609,132.8,"10,386.60"
01-11-2018,66.22863636,71.738,126.1,"10,876.75"
01-12-2018,57.94809524,70.8331,133.9,"10,862.55"
01-01-2019,59.94478261,70.71,134.4,"10,830.95"
01-02-2019,64.384,71.1739,127.6,"10,792.50"
01-03-2019,66.94190476,69.4895,144.1,"11,623.90"
01-04-2019,71.47590909,69.4068,126.5,"11,748.15"
01-05-2019,70.38913043,69.7827,135.4,"11,922.80"
01-06-2019,63.2085,69.388,129.3,"11,788.85"
01-07-2019,64.32217391,68.7391,131.8,"11,118.00"
01-08-2019,59.61818182,71.1891,126.2,"11,023.25"
01-09-2019,62.43095238,71.311,122.9,"11,474.45"
01-10-2019,59.63130435,71.0086,124,"11,877.45"
01-11-2019,62.68666667,71.4942,128.8,"12,056.05"
01-12-2019,65.34818182,71.1567,134.5,"12,168.45"
01-01-2020,63.89869565,71.279,137.4,"11,962.10"
01-02-2020,55.691,71.5295,134.2,"11,201.75"
